tax_id	species_name
46125	Abiotrophia defectiva
85698	Achromobacter xylosoxidans
470	Acinetobacter baumannii
1993	Actinomadura madurae
111805	Actinomadura pelletieri
52769	Actinomyces gerencseriae
1659	Actinomyces israelii
59505	Actinotignum schaalii
119206	Aerococcus sanguinicola
1376	Aerococcus urinae
648	Aeromonas caviae
644	Aeromonas hydrophila
654	Aeromonas veronii
714	Aggregatibacter actinomycetemcomitans
732	Aggregatibacter aphrophilus
358	Agrobacterium tumefaciens
28197	Aliarcobacter butzleri
33034	Anaerococcus prevotii
948	Anaplasma phagocytophilum
28264	Arcanobacterium haemolyticum
1392	Bacillus anthracis
1396	Bacillus cereus
1402	Bacillus licheniformis
774	Bartonella bacilliformis
56426	Bartonella clarridgeiae
807	Bartonella elizabethae
33045	Bartonella grahamii
38323	Bartonella henselae
803	Bartonella quintana
518	Bordetella bronchiseptica
519	Bordetella parapertussis
520	Bordetella pertussis
40834	Borrelia duttonii
140	Borrelia hermsii
47466	Borrelia miyamotoi
141	Borrelia parkeri
44449	Borrelia recurrentis
142	Borrelia turicatae
139	Borreliella burgdorferi
1674146	Borreliella mayonii
159	Brachyspira hyodysenteriae
1393	Brevibacillus brevis
235	Brucella abortus
36855	Brucella canis
29459	Brucella melitensis
29461	Brucella suis
95486	Burkholderia cenocepacia
292	Burkholderia cepacia
13373	Burkholderia mallei
28450	Burkholderia pseudomallei
195	Campylobacter coli
200	Campylobacter curvus
196	Campylobacter fetus
197	Campylobacter jejuni
201	Campylobacter lari
2718	Cardiobacterium hominis
83558	Chlamydia pneumoniae
83554	Chlamydia psittaci
813	Chlamydia trachomatis
546	Citrobacter freundii
1496	Clostridioides difficile
1491	Clostridium botulinum
1502	Clostridium perfringens
1504	Clostridium septicum
1513	Clostridium tetani
1717	Corynebacterium diphtheriae
38301	Corynebacterium minutissimum
43770	Corynebacterium striatum
65058	Corynebacterium ulcerans
777	Coxiella burnetii
28141	Cronobacter sakazakii
413502	Cronobacter turicensis
636	Edwardsiella tarda
945	Ehrlichia chaffeensis
947	Ehrlichia ewingii
35795	Ehrlichia muris
539	Eikenella corrodens
1117645	Elizabethkingia anophelis
238	Elizabethkingia meningoseptica
550	Enterobacter cloacae
33945	Enterococcus avium
1351	Enterococcus faecalis
1352	Enterococcus faecium
1353	Enterococcus gallinarum
1648	Erysipelothrix rhusiopathiae
562	Escherichia coli
1260	Finegoldia magna
263	Francisella tularensis
859	Fusobacterium necrophorum
851	Fusobacterium nucleatum
2702	Gardnerella vaginalis
197575	Haemophilus aegyptius
727	Haemophilus influenzae
729	Haemophilus parainfluenzae
210	Helicobacter pylori
502	Kingella denitrificans
504	Kingella kingae
548	Klebsiella aerogenes
39824	Klebsiella granulomatis
571	Klebsiella oxytoca
573	Klebsiella pneumoniae
447	Legionella bozemanae
451	Legionella micdadei
446	Legionella pneumophila
100053	Leptospira alexanderi
28452	Leptospira alstonii
174	Leptospira borgpetersenii
173	Leptospira interrogans
29507	Leptospira kirschneri
408139	Leptospira kmetyi
1137606	Leptospira mayottensis
28182	Leptospira noguchii
28183	Leptospira santarosai
28184	Leptospira weilii
1639	Listeria monocytogenes
28227	Malacoplasma penetrans
2098	Metamycoplasma hominis
2124	Metamycoplasma salivarium
408	Methylorubrum extorquens
480	Moraxella catarrhalis
