tax_id	species_name
65658	Acanthamoeba astronyxis
5755	Acanthamoeba castellanii
43142	Acanthamoeba culbertsoni
202919	Acanthamoeba divionensis
65660	Acanthamoeba hatchetti
29196	Acanthamoeba lenticulata
61605	Acanthamoeba lugdunensis
5757	Acanthamoeba polyphaga
32599	Acanthamoeba rhysodes
372152	Adenocephalus pacificus
5599	Alternaria alternata
29001	Alternaria brassicicola
369059	Ancylostoma braziliense
29170	Ancylostoma caninum
53326	Ancylostoma ceylanicum
51022	Ancylostoma duodenale
6313	Angiostrongylus cantonensis
334426	Angiostrongylus costaricensis
6269	Anisakis simplex
723287	Anncaliia algerae
760013	Apophysomyces variabilis
6252	Ascaris lumbricoides
6253	Ascaris suum
5059	Aspergillus flavus
746128	Aspergillus fumigatus
162425	Aspergillus nidulans
5061	Aspergillus niger
33178	Aspergillus terreus
32595	Babesia divergens
323732	Babesia duncani
5868	Babesia microti
171411	Babesia sp. venatorum
66527	Balamuthia mandrillaris
34480	Basidiobolus ranarum
6259	Baylisascaris procyonis
2817671	Bertiella mucronata
578852	Bertiella studeri
12968	Blastocystis hominis
5039	Blastomyces dermatitidis
1681229	Blastomyces gilchristii
465036	Blastomyces helicus
6279	Brugia malayi
6280	Brugia pahangi
42155	Brugia timori
5476	Candida albicans
42374	Candida dubliniensis
5480	Candida parapsilosis
5482	Candida tropicalis
1239592	Capillaria hepatica
69364	Chrysomya bezziana
89940	Cladophialophora bantiana
82106	Cladophialophora boppii
86049	Cladophialophora carrionii
36911	Clavispora lusitaniae
235145	Clinostomum complanatum
79923	Clonorchis sinensis
5501	Coccidioides immitis
199306	Coccidioides posadasii
115425	Cochliomyia hominivorax
27358	Colletotrichum coccodes
474922	Colletotrichum gloeosporioides
34488	Conidiobolus coronatus
90249	Conidiobolus incongruus
106324	Contracaecum osculatum
37769	Cryptococcus gattii
5207	Cryptococcus neoformans
237895	Cryptosporidium hominis
5807	Cryptosporidium parvum
91365	Curvularia australiensis
1230527	Curvularia hawaiiensis
5503	Curvularia lunata
1537989	Curvularia papendorfii
145392	Curvularia spicifera
88456	Cyclospora cayetanensis
482538	Cystoisospora belli
34641	Dermanyssus gallinae
115427	Dermatobia hominis
57078	Dicrocoelium dendriticum
43352	Dientamoeba fragilis
513045	Dioctophyme renale
60516	Diphyllobothrium latum
6287	Dirofilaria immitis
31241	Dirofilaria repens
318479	Dracunculus medinensis
6210	Echinococcus granulosus
6211	Echinococcus multilocularis
6212	Echinococcus oligarthrus
6213	Echinococcus vogeli
2759148	Echinolaelaps echidninus
73230	Emmonsia crescens
6035	Encephalitozoon cuniculi
27973	Encephalitozoon hellem
58839	Encephalitozoon intestinalis
5759	Entamoeba histolytica
51028	Enterobius vermicularis
31281	Enterocytozoon bieneusi
34391	Epidermophyton floccosum
5970	Exophiala dermatitidis
46835	Fasciola gigantica
6192	Fasciola hepatica
27845	Fasciolopsis buski
86057	Fonsecaea compacta
40355	Fonsecaea pedrosoi
5127	Fusarium fujikuroi
5507	Fusarium oxysporum
169388	Fusarium solani
5741	Giardia intestinalis
279404	Gnathostoma hispidum
75299	Gnathostoma spinigerum
114868	Halicephalobus gingivalis
1849833	Heterophyes heterophyes
5037	Histoplasma capsulatum
6216	Hymenolepis diminuta
5667	Leishmania aethiopica
5659	Leishmania amazonensis
5660	Leishmania braziliensis
44271	Leishmania chagasi
93413	Leishmania colombiensis
5661	Leishmania donovani
5670	Leishmania guyanensis
5671	Leishmania infantum
5664	Leishmania major
1580590	Leishmania martiniquensis
5665	Leishmania mexicana
5678	Leishmania naiffi
5679	Leishmania panamensis
5681	Leishmania peruviana
5666	Leishmania tropica
42458	Lichtheimia corymbifera
688394	Lichtheimia ramosa
646052	Linguatula serrata
7209	Loa loa
41688	Lomentospora prolificans
100816	Madurella mycetomatis
122354	Mansonella ozzardi
42231	Mansonella perstans
1761664	Mansonella streptocerca
84529	Metagonimus yokogawai
10237	Moniliformis moniliformis
36080	Mucor circinelloides
5763	Naegleria fowleri
5478	Nakaseomyces glabratus
51031	Necator americanus
71585	Neobalantidium coli
6282	Onchocerca volvulus
147828	Opisthorchis felineus
41765	Opisthorchis sinensis
6198	Opisthorchis viverrini
480692	Ornithonyssus bacoti
663933	Ornithonyssus bursa
224536	Ornithonyssus sylviarum
1457282	Paracapillaria philippinensis
121759	Paracoccidioides brasiliensis
434055	Paragonimus africanus
100268	Paragonimus heterotremus
100269	Paragonimus kellicotti
100270	Paragonimus mexicanus
100271	Paragonimus siamensis
59630	Paragonimus skrjabini
2912759	Paragonimus uterobilateralis
34504	Paragonimus westermani
121225	Pediculus humanus
39412	Phialophora verrucosa
4909	Pichia kudriavzevii
5833	Plasmodium falciparum
5850	Plasmodium knowlesi
5858	Plasmodium malariae
36330	Plasmodium ovale
5855	Plasmodium vivax
42068	Pneumocystis jirovecii
6271	Pseudoterranova decipiens
121228	Pthirus pubis
114742	Pythium insidiosum
86056	Rhinocladiella mackenziei
90339	Rhinosporidium seeberi
4840	Rhizomucor pusillus
64495	Rhizopus arrhizus
58291	Rhizopus microsporus
102285	Rodentolepis nana
4932	Saccharomyces cerevisiae
931868	Saksenaea erythrospora
90258	Saksenaea vasiformis
343529	Sappinia diploidea
472956	Sappinia pedata
61650	Sarcocystis hominis
102713	Sarcocystis suihominis
52283	Sarcoptes scabiei
563466	Scedosporium apiospermum
5597	Scedosporium boydii
393876	Schistosoma guineensis
6185	Schistosoma haematobium
6187	Schistosoma intercalatum
6182	Schistosoma japonicum
53353	Schistosoma malayensis
6183	Schistosoma mansoni
38744	Schistosoma mekongi
561152	Scopulariopsis brevicaulis
99802	Spirometra erinaceieuropaei
29908	Sporothrix schenckii
6248	Strongyloides stercoralis
94034	Taenia multiceps
6206	Taenia saginata
6204	Taenia solium
37727	Talaromyces marneffei
103827	Thelazia callipaeda
6265	Toxocara canis
6266	Toxocara cati
5811	Toxoplasma gondii
72359	Trachipleistophora hominis
1489895	Trematosphaeria grisea
45882	Trichinella britovi
6335	Trichinella nativa
6336	Trichinella nelsoni
6337	Trichinella pseudospiralis
6334	Trichinella spiralis
5722	Trichomonas vaginalis
5551	Trichophyton rubrum
36087	Trichuris trichiura
219738	Trichuris vulpis
5691	Trypanosoma brucei
5693	Trypanosoma cruzi
307626	Tubulinosema acridophagus
214035	Tunga penetrans
125367	Uncinaria stenocephala
42399	Vittaforma corneae
6293	Wuchereria bancrofti
498019	[Candida] auris
